platform,VM_instance,CPU_freq,n_nodes,n_vCPU,mem_size_GB,input_size_bytes,algorithm,arrival_time,runtime_sec,avg_kbmemused,avg_%memused,avg_%usr,arrival_location
AWS,c4.large,2.9,32,2,4.0265249999999995,48060238592,lr,2024-01-21T07:00:00Z,4034.47,3625875.8881845577,94.06026213239116,5.7887636391977555,aws_us-east-2
AWS,c4.2xlarge,2.9,4,8,16.106099999999998,48060214464,lr,2024-01-21T11:00:00Z,5166.932,15169268.007117435,98.49567081850532,11.90238078291815,aws_us-east-2
AWS,c4.xlarge,2.9,10,4,8.053049999999999,48060206000,lr,2024-01-21T12:00:00Z,4427.794,7450329.07171648,97.26900905011787,10.095459730778009,aws_us-east-2
AWS,c4.large,2.9,4,2,4.0265249999999995,6104163694,pagerank,2024-01-21T13:00:00Z,4916.345,3318828.1933876057,86.09501578335271,68.47194882870909,aws_us-east-2
AWS,m4.large,2.4,4,2,8.58992,24060201200,lr,2024-01-21T13:00:00Z,5123.189,8007998.263157895,97.949873294347,21.713808479532165,aws_us-east-2
AWS,r4.large,2.3,4,2,16.374534999999998,6104163694,pagerank,2024-01-21T14:00:00Z,5487.277,4858143.754437869,31.024637573964498,69.15171301775148,aws_us-east-2
AWS,m4.large,2.4,10,2,8.58992,48060203000,lr,2024-01-21T15:00:00Z,3802.788,7771205.242285715,95.05349047619046,20.033798095238097,aws_us-east-2
AWS,c4.large,2.9,32,2,4.0265249999999995,48060238592,lr,2024-01-21T15:00:00Z,4034.47,3625875.8881845577,94.06026213239116,5.7887636391977555,aws_us-east-2
AWS,c4.2xlarge,2.9,4,8,16.106099999999998,48060214464,lr,2024-01-22T00:00:00Z,5166.932,15169268.007117435,98.49567081850532,11.90238078291815,aws_us-east-2
AWS,c4.large,2.9,40,2,4.0265249999999995,48060212000,lr,2024-01-21T02:00:00Z,3929.261,3472070.878080388,90.07035407478628,5.204333758334553,aws_us-east-2
AWS,m4.large,2.4,4,2,8.58992,6104163694,pagerank,2024-01-21T03:00:00Z,5460.354,4752554.815914489,58.130948634204266,69.55355255344418,aws_us-east-2
AWS,m4.large,2.4,4,2,8.58992,24060201200,lr,2024-01-21T04:00:00Z,5123.189,8007998.263157895,97.949873294347,21.713808479532165,aws_us-east-2
AWS,m4.large,2.4,6,2,8.58992,6104217589,pagerank,2024-01-21T05:00:00Z,3985.015,3802651.4990491713,46.51212849769085,68.22254278728606,aws_us-east-2
AWS,c4.2xlarge,2.9,6,8,16.106099999999998,48060216864,lr,2024-01-21T06:00:00Z,4041.769,15093920.3001443,98.00639249639252,9.10186002886003,aws_us-east-2
