platform,VM_instance,CPU_freq,n_nodes,n_vCPU,mem_size_GB,input_size_bytes,algorithm,runtime_sec,avg_kbmemused,avg_%memused,avg_%usr
AWS,r3.2xlarge,2.5,1,8,65.49813999999999,-1,summary-statistics,21.999492492999934,6448654.0,10.2475,28.5725
AWS,r3.xlarge,2.5,1,4,32.749069999999996,3820993928,join,430.608,11038300.318181818,35.13579545454545,77.34943181818181
AWS,r3.2xlarge,2.5,1,8,65.49813999999999,-1,svd,353.6959913089995,20357339.37142857,32.356857142857145,47.78914285714286
AWS,r4.xlarge,2.3,1,4,32.749069999999996,-1,als,70.68424265800002,8613293.142857144,27.43071428571429,55.042142857142856
AWS,c3.xlarge,2.8,1,4,7.516179999999999,3284904326,wordcount,72.485,7036605.066666666,91.86733333333332,51.83866666666666
AWS,r4.large,2.3,1,2,16.374534999999998,375779530,bayes,167.344,5159604.342857143,32.95028571428571,48.33542857142857
AWS,c3.xlarge,2.8,1,4,7.516179999999999,3820993928,join,406.236,6934043.662650603,90.52855421686746,77.17879518072289
AWS,r4.xlarge,2.3,1,4,32.749069999999996,-1,fp-growth,37.02285921499998,5127808.571428572,16.33142857142857,51.574285714285715
AWS,c3.xlarge,2.8,1,4,7.516179999999999,-1,summary-statistics,104.45396845300002,4330623.157894737,56.538947368421056,50.17894736842104
AWS,c4.large,2.9,1,2,4.0265249999999995,-1,pic,341.07916589399974,3731524.705882353,96.80132352941176,87.22764705882354
AWS,c4.large,2.9,1,2,4.0265249999999995,-1,decision-tree,90.96946675500658,3394446.4444444445,88.05666666666666,58.81499999999999
AWS,c4.large,2.9,1,2,4.0265249999999995,-1,kmeans,985.9927329499988,3663915.045685279,95.04705583756343,52.06421319796954
AWS,r3.2xlarge,2.5,1,8,65.49813999999999,-1,regression,65.83520310600011,23354199.384615384,37.11846153846154,44.309999999999995
AWS,m3.xlarge,2.6,1,4,16.106099999999998,9600000000,terasort,592.866,12221400.6,79.35466666666665,73.20350000000002
AWS,m3.xlarge,2.6,1,4,16.106099999999998,200168800,als,220.438,13661347.659574468,88.7044680851064,52.331489361702104
