platform,VM_instance,CPU_freq,n_nodes,n_vCPU,mem_size_GB,input_size_bytes,algorithm,arrival_time,runtime_sec,avg_kbmemused,avg_%memused,avg_usr
AWS,c4.xlarge,2.9,4,4,8.05,48060202400,lr,2018-01-05 21:05:43,6921.177,7505279.753472222,97.98638268849206,15.807695932539684
AWS,c4.large,2.9,4,2,4.03,6104163694,pagerank,2018-01-06 02:17:23,4916.345,3318828.1933876057,86.09501578335271,68.47194882870909
AWS,c4.xlarge,2.9,6,4,8.05,50000000000,terasort,2018-01-05 23:52:08,872.761,7080877.0724365,92.44564440263406,32.19927563499529
AWS,c4.2xlarge,2.9,10,8,16.11,6104130678,pagerank,2018-01-06 06:41:08,790.167,3619982.2416961133,23.504996466431095,61.86211660777384
AWS,m4.large,2.4,10,2,8.59,50000000000,terasort,2018-01-06 04:09:32,1210.706,7375381.869174162,90.21206050695012,34.73867130008177
AWS,r4.large,2.3,8,2,16.37,6104143946,pagerank,2018-01-05 15:06:21,1245.451,10257705.015320335,65.50682103064067,74.59429317548746
AWS,c4.xlarge,2.9,8,4,8.05,6104074583,pagerank,2018-01-04 19:41:50,1384.066,3763562.97907489,49.13590308370044,71.61696310572687
AWS,m4.large,2.4,4,2,8.59,2993564169,pagerank,2018-01-05 13:18:27,2945.876,3573708.205084746,43.71192372881356,69.37326694915255
AWS,c4.2xlarge,2.9,10,8,16.11,6104130678,pagerank,2018-01-06 08:37:48,444.335,11417672.194444444,74.13625,67.58758487654322
AWS,m4.large,2.4,10,2,8.59,2993466603,pagerank,2018-01-06 06:44:11,468.369,5967703.562105264,72.99393684210526,71.96232631578947
AWS,r4.xlarge,2.3,10,4,32.75,51326844161,wordcount,2018-01-06 02:54:45,512.090,6706230.123552124,21.357442084942083,60.21990347490347
AWS,c4.large,2.9,10,2,4.03,2993466603,pagerank,2018-01-06 06:44:33,748.634,3527876.1165562915,91.51803311258278,78.29606622516556
AWS,c4.xlarge,2.9,6,4,8.05,2993420596,pagerank,2018-01-06 00:47:31,1012.380,3243994.206896552,42.35240558292283,71.44399835796386
AWS,m4.2xlarge,2.4,8,8,34.36,6103970360,pagerank,2018-01-05 06:27:46,1060.533,4375963.15,13.281378571428572,66.46460714285715
AWS,r4.xlarge,2.3,8,4,32.75,6104074583,pagerank,2018-01-05 09:01:57,593.284,15300306.33495483,48.72722029186936,70.09684503127171
AWS,m4.large,2.4,10,2,8.59,2993466603,pagerank,2018-01-06 05:26:19,1382.405,2215842.276258993,27.103205035971218,71.24821582733813
AWS,r4.xlarge,2.3,6,4,32.75,24060213264,lr,2018-01-06 01:33:02,1055.554,15771789.188679244,50.22882075471698,17.899245283018868
AWS,m4.large,2.4,10,2,8.59,51326748744,wordcount,2018-01-06 02:57:55,1037.715,6083736.074179743,74.4132857822159,58.15104136947218
AWS,r4.xlarge,2.3,6,4,32.75,51326821846,wordcount,2018-01-05 23:10:16,783.071,10107275.395987328,32.18873284054911,64.4544878563886
AWS,m4.2xlarge,2.4,4,8,34.36,48060214464,lr,2018-01-05 14:53:30,2400.589,29356718.173314992,89.09965268225584,14.963118982118294
AWS,m4.2xlarge,2.4,8,8,34.36,2993413257,pagerank,2018-01-05 03:44:35,219.737,12768260.98888889,38.7525,54.95736111111111
AWS,c4.large,2.9,10,2,4.03,48060203000,lr,2018-01-06 13:18:59,4658.108,3754662.213282518,97.4011687486767,20.63257675206437
AWS,m4.large,2.4,10,2,8.59,6104010447,pagerank,2018-01-06 12:18:12,2600.612,2872063.0245,35.12971374999999,69.03432125
AWS,r4.large,2.3,8,2,16.37,50000000000,terasort,2018-01-05 03:23:39,1287.226,12628731.064158225,80.6482875060299,42.83543174143753
AWS,c4.2xlarge,2.9,6,8,16.11,51326883287,wordcount,2018-01-05 22:53:11,371.398,10816686.375545852,70.2339519650655,61.49506550218341
AWS,r4.2xlarge,2.3,6,8,65.5,50000000000,terasort,2018-01-05 23:21:46,439.509,21084281.378277153,33.53,41.95795880149812
AWS,r4.2xlarge,2.3,4,8,65.5,2993511650,pagerank,2018-01-05 08:34:21,958.545,5450099.349804942,8.667191157347204,72.94620286085825
AWS,c4.xlarge,2.9,6,4,8.05,24060213264,lr,2018-01-06 01:21:34,1836.923,7453785.706521739,97.31401721014493,16.584651268115945
AWS,m4.xlarge,2.4,10,4,17.18,50000000000,terasort,2018-01-06 03:28:50,548.317,12031884.461261261,73.21702702702702,38.685873873873874
AWS,r4.2xlarge,2.3,10,8,65.5,50000000000,terasort,2018-01-06 03:03:39,260.222,12814177.781132076,20.378245283018867,51.0344716981132
AWS,m4.2xlarge,2.4,8,8,34.36,51326827207,wordcount,2018-01-05 01:41:43,332.947,8864878.959409595,26.905424354243543,60.830258302583026
AWS,m4.large,2.4,6,2,8.59,2993504008,pagerank,2018-01-06 04:29:55,907.994,6817828.513661202,83.39209471766848,77.17163934426229
AWS,r4.xlarge,2.3,8,4,32.75,93799252261,join,2018-01-05 02:16:51,389.631,19670152.993589744,62.64349358974359,58.928717948717946
AWS,c4.xlarge,2.9,10,4,8.05,2993586581,pagerank,2018-01-06 05:12:55,352.465,6021939.104225352,78.62035211267606,71.81440845070424
AWS,m4.large,2.4,8,2,8.59,48060202400,lr,2018-01-05 14:06:54,5415.409,7939781.344478499,97.11546670381722,22.06233305470419
AWS,c4.xlarge,2.9,10,4,8.05,6103958074,pagerank,2018-01-06 10:38:50,858.360,6659729.954285714,86.9471306122449,80.06129387755102
AWS,c4.2xlarge,2.9,4,8,16.11,48060214464,lr,2018-01-05 17:26:21,5166.932,15169268.007117437,98.49567081850533,11.90238078291815
AWS,m4.xlarge,2.4,8,4,17.18,6104074583,pagerank,2018-01-05 08:36:19,1600.157,3676099.8992322455,22.36995681381958,71.74010076775431
AWS,r4.large,2.3,4,2,16.37,6104163694,pagerank,2018-01-06 07:25:53,2338.324,12180586.945454545,77.78645454545455,77.51235606060605
AWS,m4.2xlarge,2.4,10,8,34.36,6104130678,pagerank,2018-01-06 07:50:25,332.134,13716045.556756757,41.62913513513513,53.54565765765766
AWS,c4.large,2.9,4,2,4.03,24060201200,lr,2018-01-05 13:54:45,5875.396,3765811.309230115,97.69037856231391,21.315752871118672
AWS,r4.xlarge,2.3,6,4,32.75,50000000000,terasort,2018-01-06 00:09:11,860.456,18869034.843930636,60.09260115606936,40.761204238921
